sample_code,compactdry,severity,hard_negative,n_small_sharp_blobs_mean,n_small_sharp_blobs_max,n_large_blotches_mean,n_large_blotches_max,avg_small_blob_diam_px_mean,avg_small_blob_diam_px_max,avg_large_blotch_diam_px_mean,avg_large_blotch_diam_px_max,cluster_density_mean,cluster_density_max,ratio_small_to_large_mean,ratio_small_to_large_max
S030,1,severe,False,10.0,19.0,0.0,0.0,12.93111471147234,18.178162244606415,0.0,0.0,0.020832975858155856,0.031475587066397075,0.7499999285087806,0.9999999473684238
S031,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S032,1,mild,False,0.75,3.0,0.0,0.0,4.7462892191978385,18.985156876791354,0.0,0.0,0.0024895523835501763,0.009958209534200705,0.24999991666669444,0.9999996666667778
S033,1,severe,False,8.0,10.0,0.0,0.0,16.6688156684419,17.510310418451812,0.0,0.0,0.02862376122424527,0.03200341974674094,0.9999998698412875,0.99999990000001
S034,1,severe,False,7.5,15.0,0.0,0.0,13.776934657344162,20.273035959707492,0.0,0.0,0.02321515441831279,0.03279420204770496,0.7499999163690578,0.9999999333333378
S035,0,none,True,0.0,0.0,1.0,1.0,0.0,0.0,74.9622243450466,85.69740774394765,0.0,0.0,0.0,0.0
S036,0,none,True,0.0,0.0,0.75,1.0,0.0,0.0,59.53371341084456,87.18509093915611,0.0,0.0,0.0,0.0
S037,1,mild,False,0.5,1.0,0.0,0.0,7.807128301374975,15.756957549709801,0.0,0.0,0.0,0.0,0.49999950000050003,0.9999990000010001
S038,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S039,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S040,1,mild,False,1.75,3.0,0.0,0.0,13.973834257032001,22.125735482792713,0.0,0.0,0.011533261212335003,0.025989658759967903,0.7499996666668194,0.9999996666667778
S041,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S042,1,mild,False,2.5,3.0,0.0,0.0,18.489589770698522,19.947482048313823,0.0,0.0,0.0145652202443454,0.03745914969717341,0.9999995000003333,0.9999996666667778
S043,0,none,True,0.0,0.0,0.75,1.0,0.0,0.0,56.57647077084714,84.40245999254545,0.0,0.0,0.0,0.0
S044,0,none,True,0.0,0.0,0.5,1.0,0.0,0.0,32.31090801337821,75.80323255237728,0.0,0.0,0.0,0.0
S045,1,severe,False,11.5,17.0,0.0,0.0,17.035700023642516,18.302471527025688,0.0,0.0,0.030194737716749277,0.03261162169519065,0.9999998957107972,0.999999941176474
S046,1,mild,False,1.75,3.0,0.0,0.0,14.094510862097946,19.73658110975864,0.0,0.0,0.01014960928621761,0.016095228116513538,0.7499996666668194,0.9999996666667778
S047,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S048,1,severe,False,13.5,21.0,0.25,1.0,16.37398879928732,18.064781987053298,10.391661507567063,41.56664603026825,0.030357488300067008,0.033776120468699954,0.9886362618535979,0.9999999473684238
S049,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S050,0,none,True,0.0,0.0,0.5,1.0,0.0,0.0,32.436630355218796,68.96049375973053,0.0,0.0,0.0,0.0
S051,1,mild,False,1.5,3.0,0.0,0.0,12.356065083256464,19.328029788320517,0.0,0.0,0.00829122560201987,0.01739972734308622,0.7499995416670069,0.9999996666667778
S052,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S053,1,severe,False,9.75,14.0,0.0,0.0,17.43115048830183,19.076976901365494,0.0,0.0,0.030744092475961143,0.03378695219747041,0.9999998908730285,0.9999999285714337
S054,0,none,True,0.0,0.0,0.5,1.0,0.0,0.0,32.502227280717484,82.25566813735486,0.0,0.0,0.0,0.0
S055,1,mild,False,1.5,2.0,0.0,0.0,13.304928408268136,20.0034248368214,0.0,0.0,0.01082148834752431,0.027861176947775276,0.7499996250001875,0.99999950000025
S056,0,none,True,0.0,0.0,0.5,1.0,0.0,0.0,39.99730371969551,80.40047990292359,0.0,0.0,0.0,0.0
S057,0,none,True,0.0,0.0,0.75,1.0,0.0,0.0,47.723425358398515,76.05476481938423,0.0,0.0,0.0,0.0
S058,1,severe,False,10.0,13.0,0.0,0.0,16.770493913781173,17.318401389589788,0.0,0.0,0.03003114311408462,0.03346157938753108,0.9999998945499063,0.9999999230769291
S059,1,mild,False,1.25,3.0,0.0,0.0,8.621954895370319,18.095715315878614,0.0,0.0,0.007282695365715046,0.017106542204719702,0.4999997916667569,0.9999996666667778
S060,1,mild,False,1.5,3.0,0.0,0.0,13.528731733731309,20.0585068271871,0.0,0.0,0.006218470979980207,0.013221656621763677,0.7499995416670069,0.9999996666667778
